[2021-12-08 13:59:55+00:00] root - INFO - Starting Tweets collector script
[2021-12-08 13:59:55+00:00] root - INFO - Profiles loaded: 68
[2021-12-08 13:59:55+00:00] root - INFO - Keywords loaded: 15
[2021-12-08 13:59:55+00:00] root - INFO - Start date: 2021-12-07T13:59:55+00:00
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of petrogustavo...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of sergio_fajardo...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of ingrodolfohdez...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of OIZuluaga...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468575723640307716 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468575723640307716...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 7
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468575723640307716...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 3
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of MariaFdaCabal...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468269315417952265 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468269315417952265...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 172
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468269315417952265...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 33
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of RoyBarreras...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of PalomaValenciaL...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of davidbarguil...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of EnriquePenalosa...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of agaviriau...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of DeLaCalleHum...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of juanmanuelgalan...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of FicoGutierrez...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CamiloRomero...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AlirioBarreraR...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of RafaNietoLoaiza...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JCecheverryCol...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CristoBustos...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of AlexLopezMaya...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468573381759012864 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468573381759012864...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 1
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468573381759012864...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468562460001067012 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468562460001067012...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468562460001067012...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468552411031785472 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468552411031785472...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468552411031785472...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of arelisuriana...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of FranciaMarquezM...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468275887992881152 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468275887992881152...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 13
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468275887992881152...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 9
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468273262950068228 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468273262950068228...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 23
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468273262950068228...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 10
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of angelamrobledo...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of velascoluisf...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of veranodelarosa...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JERobledo...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468550802419732494 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468550802419732494...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 15
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468550802419732494...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 4
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of jorgelondodelac...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of ivanmarulanda...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CarlosAmayaR...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of Rodrigo_Lara_...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of Luis_Perez_G...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of DilianFrancisca...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Tweet 1468304125377060868 collected
[2021-12-08 13:59:55+00:00] root - INFO - Collecting replies of 1468304125377060868...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Replies collected: 5
[2021-12-08 13:59:55+00:00] root - INFO - Collecting retweets of 1468304125377060868...
[2021-12-08 13:59:55+00:00] root - INFO - [*] Retweets collected: 0
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of CeballosM_UEC...
[2021-12-08 13:59:55+00:00] root - INFO - Collecting tweets of JohnMiltonR_...
